id_image,date_image,ndvi_value,evi_value,savitzky_golay,timestamps
,,0.4693602888744395,2.885892081430416,0.4102125235828161,2023-03-29
,,0.471342777747521,2.884843029342487,0.41738238673787365,2023-03-30
,,0.4733252666206024,2.883793977254559,0.4245522498929312,2023-03-31
,,0.4753077554936839,2.8827449251666306,0.4317221130479888,2023-04-01
,,0.4772902443667654,2.8816958730787023,0.4388919762030464,2023-04-02
,,0.47927273323984687,2.880646820990774,0.44606183935810395,2023-04-03
,,0.48125522211292837,2.879597768902846,0.4532317025131615,2023-04-04
,,0.48323771098600987,2.8785487168149175,0.4604015656682191,2023-04-05
,,0.4852201998590913,2.8774996647269893,0.4675714288232766,2023-04-06
,,0.4872026887321728,2.8764506126390605,0.4747412919783342,2023-04-07
,,0.4891851776052543,2.8754015605511323,0.4819111551333918,2023-04-08
,,0.49116766647833576,2.874352508463204,0.48908101828844935,2023-04-09
20230410T163841_20230410T164312_T15SYV,2023-04-10,0.49315015535141726,2.8733034563752757,0.49625088144350693,2023-04-10
,,0.49215498301252125,2.8738953669790277,0.4980093125977198,2023-04-11
,,0.4911598106736252,2.87448727758278,0.4997677437519326,2023-04-12
,,0.4901646383347292,2.875079188186532,0.5015261749061455,2023-04-13
,,0.4891694659958331,2.875671098790284,0.5032846060603583,2023-04-14
,,0.4881742936569371,2.8762630093940365,0.5050430372145711,2023-04-15
,,0.4871791213180411,2.8768549199977884,0.506801468368784,2023-04-16
,,0.486183948979145,2.8774468306015404,0.5085598995229968,2023-04-17
,,0.485188776640249,2.8780387412052924,0.5103183306772097,2023-04-18
,,0.48419360430135294,2.8786306518090448,0.5120767618314226,2023-04-19
20230420T163831_20230420T165151_T15SYV,2023-04-20,0.48319843196245693,2.8792225624127967,0.5138351929856354,2023-04-20
,,0.49366702780713667,2.8809556045157745,0.5196248377405388,2023-04-21
,,0.5041356236518164,2.882688646618752,0.5254144824954423,2023-04-22
,,0.5146042194964962,2.8844216887217295,0.5312041272503458,2023-04-23
,,0.5250728153411759,2.886154730824707,0.5369937720052492,2023-04-24
,,0.5355414111858556,2.8878877729276846,0.5427834167601526,2023-04-25
,,0.5460100070305354,2.8896208150306624,0.5485730615150561,2023-04-26
,,0.556478602875215,2.8913538571336397,0.5543627062699596,2023-04-27
,,0.5669471987198947,2.8930868992366174,0.560152351024863,2023-04-28
,,0.5774157945645745,2.8948199413395947,0.5659419957797664,2023-04-29
20230430T163901_20230430T165155_T15SYV,2023-04-30,0.5878843904092542,2.8965529834425725,0.57173164053467,2023-04-30
,,0.5889658237425704,2.8982959496409912,0.5728738551356031,2023-05-01
,,0.5900472570758867,2.9000389158394095,0.5740160697365361,2023-05-02
,,0.591128690409203,2.9017818820378283,0.5751582843374692,2023-05-03
,,0.5922101237425192,2.9035248482362466,0.5763004989384023,2023-05-04
,,0.5932915570758355,2.9052678144346653,0.5774427135393354,2023-05-05
,,0.5943729904091517,2.9070107806330836,0.5785849281402684,2023-05-06
,,0.5954544237424679,2.9087537468315023,0.5797271427412015,2023-05-07
,,0.5965358570757843,2.9104967130299206,0.5808693573421346,2023-05-08
,,0.5976172904091005,2.9122396792283394,0.5820115719430677,2023-05-09
,,0.5986987237424167,2.9139826454267577,0.5831537865440007,2023-05-10
,,0.599780157075733,2.9157256116251764,0.5842960011449339,2023-05-11
,,0.6008615904090492,2.9174685778235947,0.585438215745867,2023-05-12
,,0.6019430237423655,2.9192115440220134,0.5865804303468001,2023-05-13
,,0.6030244570756818,2.9209545102204317,0.5877226449477331,2023-05-14
20230515T163839_20230515T164715_T15SYV,2023-05-15,0.604105890408998,2.9226974764188505,0.5888648595486662,2023-05-15
,,0.5954162553896672,2.921364819050903,0.5829481393630355,2023-05-16
,,0.5867266203703364,2.9200321616829563,0.5770314191774047,2023-05-17
,,0.5780369853510057,2.918699504315009,0.571114698991774,2023-05-18
,,0.5693473503316748,2.917366846947062,0.5651979788061433,2023-05-19
,,0.5606577153123441,2.916034189579115,0.5592812586205127,2023-05-20
,,0.5519680802930134,2.9147015322111676,0.553364538434882,2023-05-21
,,0.5432784452736825,2.9133688748432207,0.5474478182492513,2023-05-22
,,0.5345888102543518,2.9120362174752734,0.5415310980636205,2023-05-23
,,0.5258991752350209,2.9107035601073266,0.5356143778779898,2023-05-24
20230525T163839_20230525T164730_T15SYV,2023-05-25,0.5172095402156902,2.9093709027393793,0.5296976576923591,2023-05-25
,,0.5118384271299923,2.9007085516911397,0.5236799771395049,2023-05-26
,,0.5064673140442945,2.8920462006429,0.5176622965866506,2023-05-27
,,0.5010962009585965,2.8833838495946607,0.5116446160337964,2023-05-28
,,0.49572508787289865,2.874721498546421,0.5056269354809422,2023-05-29
20230530T163841_20230530T164335_T15SYV,2023-05-30,0.4903539747872008,2.8660591474981816,0.499609254928088,2023-05-30
,,0.4954188898271733,2.8665597909971403,0.503135024529563,2023-05-31
,,0.5004838048671458,2.8670604344960986,0.506660794131038,2023-06-01
,,0.5055487199071184,2.867561077995057,0.510186563732513,2023-06-02
,,0.5106136349470909,2.8680617214940156,0.513712333333988,2023-06-03
,,0.5156785499870635,2.8685623649929743,0.517238102935463,2023-06-04
,,0.5207434650270361,2.8690630084919326,0.520763872536938,2023-06-05
,,0.5258083800670086,2.869563651990891,0.524289642138413,2023-06-06
,,0.5308732951069811,2.8700642954898496,0.527815411739888,2023-06-07
,,0.5359382101469536,2.8705649389888084,0.531341181341363,2023-06-08
20230609T163841_20230609T164114_T15SYV,2023-06-09,0.5410031251869262,2.8710655824877667,0.534866950942838,2023-06-09
,,0.5435124271189916,2.8734702424648897,0.537102734037936,2023-06-10
,,0.5460217290510572,2.8758749024420123,0.539338517133034,2023-06-11
,,0.5485310309831226,2.8782795624191353,0.541574300228132,2023-06-12
,,0.5510403329151881,2.880684222396258,0.54381008332323,2023-06-13
,,0.5535496348472535,2.883088882373381,0.5460458664183281,2023-06-14
,,0.5560589367793191,2.885493542350504,0.5482816495134261,2023-06-15
,,0.5585682387113845,2.8878982023276265,0.550517432608524,2023-06-16
,,0.56107754064345,2.8903028623047495,0.5527532157036221,2023-06-17
,,0.5635868425755154,2.892707522281872,0.5549889987987201,2023-06-18
,,0.566096144507581,2.895112182258995,0.5572247818938181,2023-06-19
,,0.5686054464396464,2.897516842236118,0.5594605649889162,2023-06-20
,,0.5711147483717118,2.8999215022132407,0.5616963480840141,2023-06-21
,,0.5736240503037773,2.9023261621903638,0.5639321311791121,2023-06-22
,,0.5761333522358428,2.9047308221674863,0.5661679142742102,2023-06-23
20230624T163839_20230624T164802_T15SYV,2023-06-24,0.5786426541679083,2.9071354821446094,0.5684036973693082,2023-06-24
,,0.5797835081338363,2.9030358597929036,0.5763408224402062,2023-06-25
,,0.5809243620997643,2.8989362374411978,0.5842779475111043,2023-06-26
,,0.5820652160656924,2.8948366150894915,0.5922150725820025,2023-06-27
,,0.5832060700316204,2.8907369927377857,0.6001521976529005,2023-06-28
20230629T163841_20230629T165204_T15SYV,2023-06-29,0.5843469239975484,2.88663737038608,0.6080893227237986,2023-06-29
,,0.587318838754723,2.888635613681625,0.608917767119457,2023-06-30
,,0.5902907535118975,2.89063385697717,0.6097462115151154,2023-07-01
,,0.5932626682690721,2.892632100272715,0.6105746559107739,2023-07-02
,,0.5962345830262468,2.89463034356826,0.6114031003064323,2023-07-03
,,0.5992064977834213,2.8966285868638053,0.6122315447020907,2023-07-04
,,0.6021784125405959,2.8986268301593503,0.6130599890977492,2023-07-05
,,0.6051503272977705,2.9006250734548953,0.6138884334934075,2023-07-06
,,0.608122242054945,2.9026233167504403,0.6147168778890659,2023-07-07
,,0.6110941568121196,2.9046215600459853,0.6155453222847244,2023-07-08
,,0.6140660715692942,2.9066198033415303,0.6163737666803828,2023-07-09
,,0.6170379863264688,2.9086180466370752,0.6172022110760412,2023-07-10
,,0.6200099010836434,2.9106162899326202,0.6180306554716997,2023-07-11
,,0.6229818158408179,2.9126145332281657,0.6188590998673581,2023-07-12
,,0.6259537305979925,2.9146127765237106,0.6196875442630165,2023-07-13
,,0.6289256453551672,2.9166110198192556,0.620515988658675,2023-07-14
,,0.6318975601123417,2.9186092631148006,0.6213444330543334,2023-07-15
,,0.6348694748695163,2.9206075064103456,0.6221728774499918,2023-07-16
,,0.6378413896266908,2.9226057497058906,0.6230013218456503,2023-07-17
,,0.6408133043838654,2.9246039930014356,0.6238297662413086,2023-07-18
,,0.64378521914104,2.9266022362969806,0.624658210636967,2023-07-19
,,0.6467571338982145,2.928600479592526,0.6254866550326255,2023-07-20
,,0.6497290486553892,2.930598722888071,0.6263150994282839,2023-07-21
,,0.6527009634125638,2.932596966183616,0.6271435438239423,2023-07-22
,,0.6556728781697383,2.934595209479161,0.6279719882196008,2023-07-23
20230724T163839_20230724T164815_T15SYV,2023-07-24,0.6586447929269129,2.936593452774706,0.6288004326152592,2023-07-24
,,0.6519299278216928,2.9304792582332033,0.6330423644041006,2023-07-25
,,0.6452150627164728,2.9243650636917002,0.6372842961929419,2023-07-26
,,0.6385001976112527,2.9182508691501976,0.6415262279817833,2023-07-27
,,0.6317853325060326,2.9121366746086945,0.6457681597706246,2023-07-28
20230729T163841_20230729T164322_T15SYV,2023-07-29,0.6250704674008125,2.906022480067192,0.650010091559466,2023-07-29
,,0.6265840619057726,2.9060639810705657,0.649203608201944,2023-07-30
,,0.6280976564107327,2.906105482073939,0.648397124844422,2023-07-31
,,0.6296112509156928,2.9061469830773126,0.6475906414869,2023-08-01
,,0.6311248454206528,2.9061884840806864,0.6467841581293781,2023-08-02
,,0.632638439925613,2.9062299850840603,0.6459776747718561,2023-08-03
,,0.6341520344305731,2.9062714860874337,0.6451711914143341,2023-08-04
,,0.6356656289355331,2.906312987090807,0.6443647080568121,2023-08-05
,,0.6371792234404933,2.906354488094181,0.6435582246992901,2023-08-06
,,0.6386928179454533,2.906395989097555,0.6427517413417682,2023-08-07
,,0.6402064124504134,2.9064374901009282,0.6419452579842462,2023-08-08
,,0.6417200069553736,2.9064789911043016,0.6411387746267242,2023-08-09
,,0.6432336014603336,2.9065204921076755,0.6403322912692022,2023-08-10
,,0.6447471959652937,2.9065619931110493,0.6395258079116802,2023-08-11
,,0.6462607904702538,2.9066034941144228,0.6387193245541583,2023-08-12
,,0.6477743849752139,2.906644995117796,0.6379128411966363,2023-08-13
,,0.649287979480174,2.90668649612117,0.6371063578391143,2023-08-14
,,0.650801573985134,2.906727997124544,0.6362998744815923,2023-08-15
,,0.6523151684900942,2.9067694981279173,0.6354933911240703,2023-08-16
,,0.6538287629950542,2.9068109991312907,0.6346869077665483,2023-08-17
